AppNumber,Applicant Type,First Name,Middle Name,Last Name,Name Suffix,Institution,Full Address,City,State,Postal Code,Country,Council Date,Year Awarded,Project Title,Category,Program,Division,Approved Outright,Approved Matching,Award Outright,Award Matching,Original Amount,Begin Grant,End Grant,Project Description,To Support Statement,Supplement Amount,Supplement Count,Supplementary Fields need work (may repeat?)
GN-1041-77,O,Henry,P.,Becton,Jr,WGBH Educational Foundation,Boston MA 2135,Boston,MA,2135,USA,1977-08,1977,Scarlet Letter Television Project,Humanities,"Media, Humanities Projects in",Public Programs,"$797,569.00","$500,000.00","$797,569.00","$500,000.00","$1,297,569.00",9/1/77,4/30/79,,,,0,-
FP-1282-79,O,Hugo,A.,Bedau,,Tufts University,Medford MA 2155,Medford,MA,2155,USA,1979-08,1979,"Seminar: ""Liberty, Equality, and Welfare:",Humanities,Fellowships & Stipends For Professionals,Fellowships and Seminars,"$40,443.00",$0.00,"$40,443.00",$0.00,"$40,443.00",9/1/79,10/31/80,,,,0,-
FT-0015-79,I,Mary,F.,Bednarowski,,Unknown,,,,,,1979-02,1979,"Fellowship, History of Religion",Humanities,Summer Stipends,Research Programs,"$2,500.00",$0.00,"$2,500.00",$0.00,"$2,500.00",5/1/79,9/30/79,,,,0,-
RC-0127-77,O,Edward,,Beechert,,Hawaiian Historical Society,Honolulu HI 96813,Honolulu,HI,96813,USA,1976-11,1977,Hawaiian Sugar Industry Historical Sourc ces: Inventory and Preservation,Humanities,Reference Materials - Access,Preservation and Access,"$52,616.00",$0.00,"$52,616.00",$0.00,"$52,616.00",5/1/77,6/15/79,,,,0,-
RL-0369-79,O,Eric,M.,Beekman,,"University of Massachusetts, Amherst",Amherst MA 1003,Amherst,MA,1003,USA,1978-11,1979,LIBRARY OF THE INDIES IN ELEVEN VOLUMES,Humanities,Translations,Research Programs,$0.00,"$29,981.00",$0.00,"$29,981.00","$29,981.00",4/1/79,3/31/83,,An edited literary history of the Indies covering the era of Dutch colonialism (17th to 20th centuries).,,0,-
EI-0185-75,O,Jeanette,M.,Beer,,Fordham University,Bronx NY 10458,Bronx,NY,10458,USA,1974-10,1975,Medieval Studies Program,Humanities,Institutional Development,Education Programs,"$168,417.00",$0.00,"$168,417.00",$0.00,"$168,417.00",6/1/75,8/31/79,,,,0,-
GZ-1102-79,O,Manley,A.,Begay,,White Mountain Apache Tribe,Whiteriver AZ 85941,Whiteriver,AZ,85941,USA,1979-05,1979,Apache Youth Roots Research Project,Humanities,Humanities Projects for Youth,Public Programs,"$3,504.00",$0.00,"$3,504.00",$0.00,"$3,504.00",8/1/79,9/30/79,,To involve native Apache youth in creating a pictorial and oral record of the White Mountain Apache people.,,0,-
RX-0521-79,O,Grant,,Beglarian,,University of Southern California,Los Angeles CA 90089,Los Angeles,CA,90089,USA,1900-01,1979,"Technology, Cultural Values and the Creative Imagination: A Planning Study",Humanities,Conferences,Research Programs,"$17,472.00",$0.00,"$17,472.00",$0.00,"$17,472.00",2/1/79,7/31/80,,"To develop a major long-term research program in Technology, Cultural Values and the Creative Imagination.",,0,-
FP-1304-79,O,Derrick,A.,Bell,,Harvard University,Cambridge MA 2138,Cambridge,MA,2138,USA,1979-08,1979,"Seminar: ""Race Law: Its Jurisprudence and Impact on America""",Humanities,Fellowships & Stipends For Professionals,Fellowships and Seminars,"$49,675.00",$0.00,"$48,965.82",$0.00,"$48,965.82",9/1/79,1/31/81,,,,0,-
RP-1234-78,O,J. G.,,Bell,,Stanford University Press,Stanford CA 94305,Stanford,CA,94305,USA,1978-08,1978,Patterns of Antisocial Behavior in Colonial Mexican Villages,Humanities,Scholarly Publications,Research Programs,"$4,257.00",$0.00,"$4,257.00",$0.00,"$4,257.00",8/1/78,6/30/79,,,,0,-
RP-0485-79,O,J. G.,,Bell,,Stanford University Press,Stanford CA 94305,Stanford,CA,94305,USA,1979-02,1979,"Publication of ""A Tale of Flowering Fortunes"" Trans. By W. & H. McCullough",Humanities,Scholarly Publications,Research Programs,"$10,000.00","$3,681.55","$10,000.00","$3,681.55","$13,681.55",3/1/79,8/31/80,,"Publication of ""A Tale of Flowering Fortunes,"" a social chronicle of courtly life in Japan of the Heinan Period (889-1092), from a Pair of Masterly Translators.",,0,-
RP-1353-79,O,J. G.,,Bell,,Stanford University Press,Stanford CA 94305,Stanford,CA,94305,USA,1979-08,1979,"Rebels to Revolutionaries, by Elizabeth Perry",Humanities,Scholarly Publications,Research Programs,"$3,000.00",$0.00,"$3,000.00",$0.00,"$3,000.00",9/1/79,2/28/81,,Supports publication of a study of peasant rebellion in the Huai- pei region of China during the period 1845-1945.,,0,-
RC-0167-79,O,James,Brugler,Bell,,New England Historic Genealogical Society,Boston MA 2116,Boston,MA,2116,USA,1978-11,1979,"ORGANIZATION, PROCESSING AND GUIDE TO THE MANUSCRIPT COLLECTION","History, General",Reference Materials - Access,Preservation and Access,"$96,997.00",$0.00,"$96,957.26",$0.00,"$96,957.26",7/1/79,6/30/82,,To prepare a guide to the manuscript collections of the New England Historic Genealogical Society.,,0,-
RT-0308-77,O,L. Michael,,Bell,,"University of Colorado, Boulder",Boulder CO 80309,Boulder,CO,80309,USA,1977-02,1977,Computer Research on Early Scandinavian Texts,Humanities,Reference Materials - Tools,Preservation and Access,"$23,090.00",$0.00,"$19,285.32",$0.00,"$19,285.32",4/1/77,8/31/80,,,,0,-
FB-0010-79,I,Gene,H.,Bell-Villada,,Unknown,,,,,,1978-11,1979,"Fellowship, Comparative Literature",Humanities,Fellowships for College Teachers and Independent Scholars,Research Programs,"$8,807.00",$0.00,"$8,807.00",$0.00,"$8,807.00",7/1/79,12/31/79,,,,0,-
RO-1457-79,O,Robert,N.,Bellah,,"University of California, Berkeley",Berkeley CA 94720,Berkeley,CA,94720,USA,1979-05,1979,The Moral Basis of Social Commitment in America,Humanities,Basic Research,Research Programs,"$80,000.00","$85,000.00","$76,716.56","$85,000.00","$161,716.56",9/1/79,3/31/84,,A series of studies to research how contemporary Americans make moral choices.,,0,-
EC-0864-79,O,Diana,,Ben-Merre,,Hofstra University,Hempstead NY 11550,Hempstead,NY,11550,USA,1979-02,1979,Consultant Grant,Composition and Rhetoric,Education Consultant Grants,Education Programs,"$5,470.00",$0.00,"$4,131.16",$0.00,"$4,131.16",3/1/79,4/30/81,,Consultant help is sought to examine and evaluate current methods of teaching writing and to bring a wider knowledge of methods employed elsewhere to meet the problem of improving uneven student writing.,,0,-
GM-1332-79,O,Robert,M.,Bender,,"University of Missouri, Columbia",Columbia MO 65211,Columbia,MO,65211,USA,1979-08,1979,A Mid-America Shakespearean Chautauqua,Humanities,"Museums and Historical Organizations, Humanities Projects in",Public Programs,"$159,662.00",$0.00,"$159,662.00",$0.00,"$159,662.00",10/1/79,6/30/80,,Support an interpretive program to enhance the Folger Library Shakespeare Exhibit at the Nelson Gallery and Shakespeare's relation to the lives of people in the Midwest.,,0,-
EC-1490-78,O,Linda,,Bendix,,Lakeland College,Sheboygan WI 53081,Sheboygan,WI,53081,USA,1978-05,1978,Consultant Grant,Humanities,Education Consultant Grants,Education Programs,"$6,770.00",$0.00,"$6,770.00",$0.00,"$6,770.00",6/1/78,8/30/81,,,,0,-
GM-0726-78,O,Kay,H.,Benedict,,Casa Grande Valley Historical Society,Casa Grande AZ 85122,Casa Grande,AZ,85122,USA,1978-02,1978,Exhibition for Casa Grande Museum,Humanities,"Museums and Historical Organizations, Humanities Projects in",Public Programs,"$4,997.51",$0.00,"$4,997.51",$0.00,"$4,997.51",4/1/78,2/1/79,,,,0,-
GM-0995-79,O,Kay,H.,Benedict,,Casa Grande Valley Historical Society,Casa Grande AZ 85122,Casa Grande,AZ,85122,USA,1979-05,1979,Prog.Development & Implementation Phase of the Casa Grande Valley Hist. Soc. Mus,"History, General","Museums and Historical Organizations, Humanities Projects in",Public Programs,"$13,491.69",$0.00,"$13,491.69",$0.00,"$13,491.69",8/1/79,7/31/80,,To develop and implement additional historical displays and acti- vities in conjunction with the community's centennial observance.,,0,-
GM-1097-78,O,Peter,,Benes,,Currier Gallery of Art,Manchester NH 3104,Manchester,NH,3104,USA,1978-05,1978,NEW ENGLAND MEETING HOUSE AND CHURCH: 1630-1850,Humanities,"Museums and Historical Organizations, Humanities Projects in",Public Programs,"$30,262.00",$0.00,"$30,262.00",$0.00,"$30,262.00",8/15/78,7/15/79,,,,0,-
GM-0957-79,O,Peter,,Benes,,Dublin Seminar for New England Folklife,Dublin NH 3444,Dublin,NH,3444,USA,1979-05,1979,"New England Prospect: Maps, Place Names and the HistoricalLandscape","History, General","Museums and Historical Organizations, Humanities Projects in",Public Programs,"$9,925.00",$0.00,"$9,925.00",$0.00,"$9,925.00",5/1/79,4/30/80,,"To plan an exhibit and conference on the ""folk"" process of landscape-making and place-naming in New England, 1500-1850.",,0,-
FP-1331-79,O,Saul,,Benison,,University of Cincinnati,Cincinnati OH 45221,Cincinnati,OH,45221,USA,1979-08,1979,Medical Thought and Care in History,Humanities,Fellowships & Stipends For Professionals,Fellowships and Seminars,"$41,379.53",$0.00,"$41,379.53",$0.00,"$41,379.53",9/1/79,10/31/80,,,,0,-
GN-0973-79,I,Mark,,Benjamin,,Unknown,,,,,,1900-01,1979,Women Inside,"Interdisciplinary Studies, General","Media, Humanities Projects in",Public Programs,"$10,000.00",$0.00,"$10,000.00",$0.00,"$10,000.00",5/1/79,8/31/79,,To support completion of film about women in prison.,,0,-
GZ-1395-79,O,Steve,,Benjamin,,Rock Point Community School,Chinle AZ 86503,Chinle,AZ,86503,USA,1979-05,1979,ECHO: A Navajo Cultural Exploration Project,Humanities,Humanities Projects for Youth,Public Programs,"$5,041.00",$0.00,"$5,041.00",$0.00,"$5,041.00",10/1/79,3/31/81,,To involve Navajo youth in documenting various aspects of Navajo culture through interaction with local community adults.,,0,-
RO-1365-79,O,W.,J.,Bennett,Jr,Museum of the Red River,Idabel OK 74745,Idabel,OK,74745,USA,1979-08,1979,"Analysis of Archelgcl Matrals from the Persian & Hellenistic Lvls of Tell el-Hesi, Israel",Humanities,Basic Research,Research Programs,"$57,222.00",$0.00,"$57,222.00",$0.00,"$57,222.00",9/1/79,2/28/82,,"Supports analysis and interpretation of the results of archaeological work at Tell el-Hesi, Israel",,0,-
CF-0688-77,O,William,J.,Bennett,,National Humanities Center,Durham NC 27709,Durham,NC,27709,USA,1977-05,1977,Challenge Grant,Humanities,Fellowships Challenge Grants,Challenge Grants,$0.00,"$625,000.00",$0.00,"$625,000.00","$625,000.00",10/1/76,6/30/81,,"To assist the Center in establishing fundraising capabilities and broadening its base of private support for individual scholars in residence, interdis- ciplinary seminars, as well as research, library and administrative expenses.",,0,-
RC-0574-78,O,Barbara,,Benson,,Historical Society of Delaware,Wilmington DE 19801,Wilmington,DE,19801,USA,1978-02,1978,Cataloging Pamphlets and Rare Books,Humanities,Reference Materials - Access,Preservation and Access,"$50,000.00","$15,000.00","$50,000.00","$15,000.00","$65,000.00",1/1/78,12/31/81,,,,0,-
RE-1155-78,O,Robert,L.,Benson,,"University of California, Los Angeles",Los Angeles CA 90095,Los Angeles,CA,90095,USA,1978-05,1978,Electoral Treatices of the Medieval Chur ch,Humanities,Editions,Research Programs,"$78,540.00",$0.00,"$78,540.00",$0.00,"$78,540.00",7/1/78,9/30/82,,,,0,-
RP-1237-78,O,Robert,L.,Benson,,"University of California, Los Angeles",Los Angeles CA 90095,Los Angeles,CA,90095,USA,1978-08,1978,Renaissance of The Twelfth Century,Humanities,Scholarly Publications,Research Programs,"$6,425.00",$0.00,"$6,425.00",$0.00,"$6,425.00",9/1/78,3/31/81,,,,0,-
EC-0185-79,O,Robert,,Benson,,Hartwick College,Oneonta NY 13820,Oneonta,NY,13820,USA,1978-08,1979,CONSULTANT GRANT,English; Composition and Rhetoric,Education Consultant Grants,Education Programs,"$6,310.00",$0.00,"$6,310.00",$0.00,"$6,310.00",9/1/78,1/31/81,,Consultant advice is sought in designing a support system to refocus all faculty attention on the importance of written English and to develop strategies to incorporate the teaching of writing throughout the curriculum.,,0,-
SO-1057-77,O,Ronald,E.,Benson,,Georgia Humanities Council,Atlanta GA 30303,Atlanta,GA,30303,USA,1977-08,1979,Value Priorities in Georgia,Humanities,State Programs (SO),Federal/State Partnership,"$437,455.55","$8,150.00","$437,455.55","$8,150.00","$445,605.55",10/1/77,9/30/80,,,,0,-
FS-0119-79,O,Margaret,,Bent,,Brandeis University,Waltham MA 2453,Waltham,MA,2453,USA,1978-11,1979,"Seminar: ""Medieval and Renaissance Music from Notation to Performance""",Music History and Criticism,Seminars for College Teachers,Education Programs,"$46,031.02",$0.00,"$46,031.02",$0.00,"$46,031.02",1/1/79,9/30/79,,,,0,-
GZ-0988-79,O,Sara,S.,Bentley,,Institute for Minority Studies,La Crosse WI 54601,La Crosse,WI,54601,USA,1979-05,1979,Winnebago Life and Culture: A Library Program for Children,Humanities,Humanities Projects for Youth,Public Programs,"$5,110.00",$0.00,"$5,110.00",$0.00,"$5,110.00",8/1/79,12/31/79,,To provide humanities activities that will teach La Crosse children about Winnebago Indian culture and values.,,0,-
RT-0370-77,O,Rita,,Benton,,University of Iowa,Iowa City IA 52242,Iowa City,IA,52242,USA,1977-02,1977,Directory of Music Research Libraries Vol.5: Eastern Euro- pean Countries,Humanities,Reference Materials - Tools,Preservation and Access,"$62,043.00",$0.00,"$62,043.00",$0.00,"$62,043.00",4/1/77,3/31/79,,,,0,-
EC-0429-78,O,Robert,M.,Berdahl,,"University of Oregon, Eugene",Eugene OR 97403,Eugene,OR,97403,USA,1978-02,1978,CONSULTANT GRANT,Humanities,Education Consultant Grants,Education Programs,"$1,740.32",$0.00,"$1,740.32",$0.00,"$1,740.32",12/28/77,2/28/79,,,,0,-
FT-0016-79,I,Gerald,M.,Berg,,Unknown,,,,,,1979-02,1979,"Fellowship, European History",Humanities,Summer Stipends,Research Programs,"$2,500.00",$0.00,"$2,500.00",$0.00,"$2,500.00",5/1/79,9/30/79,,,,0,-
EI-0259-77,O,Geri,,Berg,,Johns Hopkins University,Baltimore MD 21218,Baltimore,MD,21218,USA,1977-02,1977,Teaching the Humanities in a Health Professional Curriculum,Humanities,Institutional Development,Education Programs,"$200,000.00",$0.00,"$199,699.29",$0.00,"$199,699.29",4/1/77,6/30/81,,,,0,-
RS-1261-79,O,Conrad,,Bergendoff,,Augustana Historical Society,Rock Island IL 61201,Rock Island,IL,61201,USA,1979-08,1979,"2,500 Leaders Among the Immigrants from Sweden",Humanities,State and Local and Regional Studies,Research Programs,"$18,888.00",$0.00,"$18,888.00",$0.00,"$18,888.00",9/1/79,8/31/80,,Supports a study of leaders of Swedish immigrants to the United States between 1860 and 1962.,,0,-
FS-0248-79,O,Bennett,M.,Berger,,"University of California, San Diego",La Jolla CA 92093,La Jolla,CA,92093,USA,1978-11,1979,"Seminar: ""The Traffic Between Cultural and Political Radicalism""",Humanities,Seminars for College Teachers,Education Programs,"$43,323.00",$0.00,"$43,323.00",$0.00,"$43,323.00",1/1/79,9/30/79,,,,0,-
CE-1076-78,O,Ira,,Berger,,Barnard College,New York NY 10027,New York,NY,10027,USA,1978-05,1979,Challenge Grant,Humanities,Education Challenge Grants,Challenge Grants,$0.00,"$400,000.00",$0.00,"$400,000.00","$400,000.00",10/1/77,6/30/82,,,,0,-
FB-0011-79,I,Iris,,Berger,,Unknown,,,,,,1978-11,1979,"Fellowship, History",Humanities,Fellowships for College Teachers and Independent Scholars,Research Programs,"$20,000.00",$0.00,"$20,000.00",$0.00,"$20,000.00",9/1/79,8/31/80,,,,0,-
FB-0012-79,I,Karol,,Berger,,Unknown,,,,,,1978-11,1979,"Fellowship, Music",Humanities,Fellowships for College Teachers and Independent Scholars,Research Programs,"$18,336.00",$0.00,"$18,336.00",$0.00,"$18,336.00",9/1/79,8/31/80,,,,0,-
RO-1036-77,O,Morroe,,Berger,,Princeton University,Princeton NJ 8544,Princeton,NJ,8544,USA,1977-08,1977,Benny Carter: A Socio-Musicological Appr oach to Jazz History,Humanities,Basic Research,Research Programs,"$56,400.00",$0.00,"$56,400.00",$0.00,"$56,400.00",7/1/78,6/30/80,,,,0,-
EH-1189-76,O,Peter,K.,Berger,,American Enterprise Institute,Washington DC 20036,Washington,DC,20036,USA,1976-08,1976,National Study of Mediating Structures & Public Policy,Public Administration; Law and Jurisprudence; Sociology,Institutes for College and University Teachers,Education Programs,"$272,400.00",$0.00,"$272,400.00",$0.00,"$272,400.00",9/15/76,9/15/79,,"To support study of social work, welfare, education, child care, law enforcement, housing and zoning, and health care. To produce 5 books recordingresults of 2 years' work. Proj. Director",,0,-
EC-0726-79,O,Charles,A.,Bergman,,Pacific Lutheran University,Tacoma WA 98447,Tacoma,WA,98447,USA,1979-02,1979,Consultant Grant,Composition and Rhetoric,Education Consultant Grants,Education Programs,"$5,955.00",$0.00,"$5,874.08",$0.00,"$5,874.08",3/1/79,12/31/81,,To develop ways of improving student writing standards in all disciplines across the curriculum; and to main faculty members to incorporate writing instruction in their own disciplines.,,0,-
RO-0744-76,O,H. Russell,,Bernard,,West Virginia University,Morgantown WV 26506,Morgantown,WV,26506,USA,1976-05,1976,Otomi Monolingual Ethnography,Humanities,Basic Research,Research Programs,"$12,963.85",$0.00,"$12,963.85",$0.00,"$12,963.85",9/1/76,8/31/79,,,,0,-
RL-0752-79,O,Aldo,S.,Bernardo,,(DO NOT USE) Research Foundation of SUNY,Albany NY 12201,Albany,NY,12201,USA,1979-05,1979,Translation into English of the Senilium Rerum Libri of Francesco Petrarca,Humanities,Translations,Research Programs,"$10,000.00",$0.00,"$10,000.00",$0.00,"$10,000.00",6/1/79,6/30/81,,To continue translation of Petrarch's two principal collections of Latin letters.,,0,-
RC-0932-76,O,Richard,C.,Berner,,University of Washington,Seattle WA 98105,Seattle,WA,98105,USA,1976-08,1976,Compilation of a Comprehensive Guide to Manuscript Collection of the U. of Wash.,Humanities,Reference Materials - Access,Preservation and Access,"$35,508.00",$0.00,"$35,508.00",$0.00,"$35,508.00",2/1/77,8/31/79,,,,0,-
CE-0694-77,O,Sondra,,Bernfield,,Spertus College of Judaica,Chicago IL 60605,Chicago,IL,60605,USA,1977-05,1977,Challenge Grant,Humanities,Education Challenge Grants,Challenge Grants,$0.00,"$149,153.00",$0.00,"$149,153.00","$149,153.00",6/1/77,6/30/80,,,,0,-
RP-0572-79,O,William,F.,Bernhardt,,Columbia University Press,New York NY 10025,New York,NY,10025,USA,1979-02,1979,"Publication of ""Nepali Visions, Nepali Dreams: Poetry of Laxmiprasad Devkota",Humanities,Scholarly Publications,Research Programs,"$2,000.00",$0.00,"$2,000.00",$0.00,"$2,000.00",3/1/79,2/29/80,,"To publish David Rubin's translation of a selected body of work by a modern Nepali poet, Devkota.",,0,-
GD-1205-79,O,Herbert,J.,Bernstein,,Hampshire College,Amherst MA 1002,Amherst,MA,1002,USA,1900-01,1979,A Conference to Define and Explore Reconstructive Knowledge,Humanities,Public Programs Special Projects (GD),Public Programs,"$16,970.00",$0.00,"$16,970.00",$0.00,"$16,970.00",10/1/79,12/31/79,,Conference to define and explore reconstructive knowledge.,,0,-
EC-1082-78,O,Sandra,L.,Bertman,,University of Massachusetts Medical School,Worcester MA 1655,Worcester,MA,1655,USA,1978-02,1978,CONSULTANT GRANT,Humanities,Education Consultant Grants,Education Programs,"$6,037.78",$0.00,"$6,037.78",$0.00,"$6,037.78",3/6/78,6/30/80,,,,0,-
CE-0998-78,O,Arthur,,Bertrand,,American International College,Springfield MA 1109,Springfield,MA,1109,USA,1978-05,1979,Challenge Grant,Humanities,Education Challenge Grants,Challenge Grants,$0.00,"$100,000.00",$0.00,"$100,000.00","$100,000.00",10/1/77,6/30/83,,,,0,-
CM-1059-78,O,Donald,,Bertrand,,Battle Ground Historical Corporation,Battle Ground IN 47920,Battle Ground,IN,47920,USA,1978-05,1979,Challenge Grant,Humanities,Museum Challenge Grants,Challenge Grants,$0.00,"$26,000.00",$0.00,"$26,000.00","$26,000.00",1/1/78,6/30/82,,,,0,-
RO-1363-79,O,Philip,P.,Betancourt,,Temple University,Philadelphia PA 19122,Philadelphia,PA,19122,USA,1979-08,1979,Interdisciplinary Study of Early Minoan III Pottery,Humanities,Basic Research,Research Programs,"$39,500.00",$0.00,"$39,446.85",$0.00,"$39,446.85",12/1/79,11/30/82,,Supports an interdisciplinary study of early Minoan pottery from 2200-1950 B.C. in Crete.,,0,-
FB-0013-79,I,David,M.,Bethea,,Unknown,,,,,,1978-11,1979,"Fellowship, Russian",Humanities,Fellowships for College Teachers and Independent Scholars,Research Programs,"$18,303.00",$0.00,"$18,303.00",$0.00,"$18,303.00",9/1/79,8/31/80,,,,0,-
RS-0348-79,O,Elizabeth,Rauh,Bethel,,Lander University,Greenwood SC 29649,Greenwood,SC,29649,USA,1978-11,1979,PROMISED LAND: BLACK IDENTITY IN THE RURAL SOUTH 1871-1977,Humanities,State and Local and Regional Studies,Research Programs,"$33,671.00",$0.00,"$33,671.00",$0.00,"$33,671.00",9/1/79,7/31/80,,"A study of Promised Land, a small black community located in the rural Piedmont region of South Carolina.",,0,-
EP-1407-77,O,Robert,D.,Bethke,,University of Delaware,Newark DE 19716,Newark,DE,19716,USA,1977-08,1977,Folklore and Ethnic Art: Core Corrse,Humanities,Pilot Grants - Education,Education Programs,"$28,596.00",$0.00,"$28,596.00",$0.00,"$28,596.00",6/1/78,9/1/79,,,,0,-
EC-0189-78,O,Joseph,,Bettis,,Western Washington University,Bellingham WA 98225,Bellingham,WA,98225,USA,1977-11,1978,CONSULTANT GRANT,Humanities,Education Consultant Grants,Education Programs,"$3,798.35",$0.00,"$3,798.35",$0.00,"$3,798.35",6/14/77,1/31/80,,,,0,-
RO-0683-78,O,Hans,D.,Betz,,Claremont Graduate University,Claremont CA 91711,Claremont,CA,91711,USA,1978-02,1978,Corpus Hellenisticum Novi Testamenti: Papyri Creacea Magicae,Humanities,Basic Research,Research Programs,"$18,372.43",$0.00,"$18,372.43",$0.00,"$18,372.43",4/1/78,9/30/79,,,,0,-
RO-0684-78,O,Hans,D.,Betz,,University of Chicago,Chicago IL 60637,Chicago,IL,60637,USA,1978-02,1978,CORPUS HELLENISTICUM NOVI TESTAMENTI: PAPYRI GRAECAE MAGICAE,Humanities,Basic Research,Research Programs,"$73,378.00",$0.00,"$61,110.43",$0.00,"$61,110.43",9/1/78,3/31/81,,,,0,-
ES-0493-78,O,Ann,,Beuf,,University of Pennsylvania,Philadelphia PA 19104,Philadelphia,PA,19104,USA,1978-02,1978,Extended Teacher Institute In Women's Studies,Humanities,Institutes for School Teachers,Education Programs,"$67,604.00",$0.00,"$65,788.60",$0.00,"$65,788.60",4/1/78,6/30/81,,,,0,-
FR-1065-77,O,David,,Bevington,,University of Chicago,Chicago IL 60637,Chicago,IL,60637,USA,1977-05,1977,The Drama of Medieval and Renaissance England 950-1616,Humanities,Residential College Teacher - 1976 thru 1981,Research Programs,"$33,018.35",$0.00,"$33,018.35",$0.00,"$33,018.35",4/1/78,9/30/79,,,,0,-
GP-0391-79,O,Livingston,,Biddle,Jr,National Endowment for the Arts,Washington DC 20506,Washington,DC,20506,USA,1900-01,1979,TRANSFER OF FUNDS IN SUPPORT OF A CONTRACT,"Interdisciplinary Studies, General",Special Projects,Public Programs,"$17,500.00",$0.00,"$17,500.00",$0.00,"$17,500.00",2/1/79,6/30/79,,To share funding for a feasibility study for a program of technical assistance activities.,,0,-
RL-0412-79,I,John,W.,Bierhorst,,Unknown,,,,,,1979-02,1979,Codex Cantares Mexicanos: Crit. ED. & Translation of 16th Century Aztec Songs,"Interdisciplinary Studies, General",Translations,Research Programs,"$9,242.00","$3,050.00","$9,242.00","$3,050.00","$12,292.00",4/1/79,10/31/80,,"To translate and transcribe the 16th century manuscript, ""Cantares Mexicanos,"" which preserves in classical Nahuatl (the language of the Aztecs) 169 pages of the poetry and theater of pre-conquest Mexico.",,0,-
EC-1250-79,O,Edieann,,Biesbrock-Didham,,Bowling Green State University,Bowling Green OH 43403,Bowling Green,OH,43403,USA,1979-02,1979,Consultant Grant,American Studies,Education Consultant Grants,Education Programs,"$2,749.27",$0.00,"$2,749.27",$0.00,"$2,749.27",4/1/79,5/31/81,,Developing an interdisciplinary continuing education program in the humanities to attract non-traditional students.,,0,-
RC-1197-76,O,Martha,M.,Bigelow,,Michigan Department of State,Lansing MI 48918,Lansing,MI,48918,USA,1976-08,1976,Pilot Local Records Survey,Humanities,Reference Materials - Access,Preservation and Access,"$33,155.86",$0.00,"$33,155.86",$0.00,"$33,155.86",9/1/76,6/30/80,,,,0,-
RE-1588-78,O,Raymond,G.,Bigger,,Boston College,Chestnut Hill MA 2467,Chestnut Hill,MA,2467,USA,1978-08,1978,"Edition of ""Handlying of Synne"" by Robert Mannyng",Humanities,Editions,Research Programs,"$12,871.00",$0.00,"$12,871.00",$0.00,"$12,871.00",10/1/78,1/15/79,,,,0,-
RO-0034-78,O,David,P.,Billington,,Princeton University,Princeton NJ 8544,Princeton,NJ,8544,USA,1977-08,1978,ROBERT MAILART AND THE ORIGINS OF MODERN CONCRETE STRUCTURES,Humanities,Basic Research,Research Programs,"$27,854.00",$0.00,"$27,854.00",$0.00,"$27,854.00",7/1/77,9/1/79,,,,0,-
FC-0002-77,O,James,H.,Billington,,Woodrow Wilson International Center for Scholars,Washington DC 20560,Washington,DC,20560,USA,1975-02,1977,FELLOWSHIP PROGRAM,Humanities,Fellowships At Centers for Advanced Study,Fellowships and Seminars,$0.00,"$75,000.00",$0.00,"$75,000.00","$75,000.00",1/1/77,6/30/79,,,,0,-
ES-1369-78,O,Sam,,Bingham,,Rock Point Community School,Chinle AZ 86503,Chinle,AZ,86503,USA,1978-08,1978,The Navajo Land Project,Humanities,Institutes for School Teachers,Education Programs,"$53,440.00",$0.00,"$53,422.04",$0.00,"$53,422.04",10/1/78,6/30/81,,,,0,-
GM-0589-77,O,James,A.,Birch,,Cleveland Museum of Art,Cleveland OH 44106,Cleveland,OH,44106,USA,1977-05,1977,The Afro-American Tradition in Decorative Arts,Humanities,"Museums and Historical Organizations, Humanities Projects in",Public Programs,"$78,608.67",$0.00,"$78,608.67",$0.00,"$78,608.67",4/1/77,12/31/79,,,,0,-
GM-1132-78,O,Louise,,Birchead,,City of Syracuse,Syracuse NY 13202,Syracuse,NY,13202,USA,1978-05,1978,Syracuse City Hall and Neighborhood Interpretive Program,Humanities,"Museums and Historical Organizations, Humanities Projects in",Public Programs,"$8,747.07",$0.00,"$8,747.07",$0.00,"$8,747.07",8/1/78,10/30/79,,,,0,-
RT-0603-75,O,Charles,S.,Bird,,"Indiana University, Bloomington",Bloomington IN 47405,Bloomington,IN,47405,USA,1975-05,1975,Computerized Dictionary of Bambara-Maninka-Dyula,Humanities,Reference Materials - Tools,Preservation and Access,"$156,173.00",$0.00,"$156,173.00",$0.00,"$156,173.00",6/1/75,8/31/80,,,,0,-
RT-0517-77,O,Charles,S.,Bird,,"Indiana University, Bloomington",Bloomington IN 47405,Bloomington,IN,47405,USA,1977-02,1977,COMPUTERIZED DICTIONARY OF BAMBARA-MANIN KA-DYULA,Humanities,Reference Materials - Tools,Preservation and Access,"$78,236.39",$0.00,"$78,236.39",$0.00,"$78,236.39",6/1/77,8/31/80,,,,0,-
FR-0066-79,I,Laura,B.,Bird,,Unknown,,,,,,1978-11,1979,"Fellowship, Religion",Humanities,Residential College Teacher - 1976 thru 1981,Research Programs,"$16,500.00",$0.00,"$16,500.00",$0.00,"$16,500.00",8/20/79,8/19/80,,,,0,-
GN-1257-78,O,Stewart,,Bird,,Center for Educational Productions,New York NY 10024,New York,NY,10024,USA,1978-08,1978,The Wobblies,Humanities,"Media, Humanities Projects in",Public Programs,"$169,444.00",$0.00,"$169,444.00",$0.00,"$169,444.00",10/1/78,11/30/79,,,,0,-
